representation,split_file,scheme,holdout_group,budget,seed,n_train_used,C_selected,inner_cv_folds_used,cv_selection_cells,n_dims_selected,seconds,pooled_macro_f1,pooled_macro_f1_all_test_classes,dataset,n_test,n_classes_learnable,n_classes_test_only,macro_f1,macro_f1_all_test_classes,accuracy
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,0,140,1.0,5,140,768,3.21,0.7347688180641796,0.7347688180641796,STAD_GSE134520,1308,6,0,0.5687768209807824,0.5687768209807824,0.6857798165137615
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,BRCA_GSE161529,6000,10,0,0.7518690342774406,0.7518690342774406,0.7326666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,BRCA_GSE176078,6000,9,0,0.7730125831094906,0.7730125831094906,0.7581666666666667
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,CHOL_GSE125449_aPD1aPDL1aCTLA4,887,8,0,0.7497522329236964,0.7497522329236964,0.6144306651634723
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,CRC_GSE108989,2184,3,0,0.7310257236429019,0.7310257236429019,0.7394688644688645
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,CRC_GSE146771_10X,6000,7,0,0.9011158064484951,0.9011158064484951,0.895
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,HNSC_GSE103322,1176,8,0,0.48760365772371117,0.48760365772371117,0.48639455782312924
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,LIHC_GSE140228_10X,5999,9,0,0.7555890568820988,0.7555890568820988,0.7662943823970662
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,LIHC_GSE98638,960,3,0,0.6977553799065345,0.6977553799065345,0.70625
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,NSCLC_GSE127465,6000,12,0,0.7700412554750821,0.7700412554750821,0.803
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,NSCLC_GSE131907,6007,10,0,0.693287285266069,0.693287285266069,0.6632262360579324
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,PAAD_GSE111672,453,7,0,0.7608416331479305,0.7608416331479305,0.6622516556291391
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,PAAD_GSE154778,2989,6,0,0.6104603901154075,0.6104603901154075,0.8263633322181332
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,1,140,0.1,5,140,768,3.82,0.7637611981461622,0.7637611981461622,STAD_GSE134520,1308,6,0,0.7498795175522571,0.7498795175522571,0.7958715596330275
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,BRCA_GSE161529,6000,10,0,0.7177688197773753,0.7177688197773753,0.7141666666666666
geneformer,S1_within_dataset__seed0.parquet,S1_within_dataset,,10,2,140,1.0,5,140,768,3.48,0.7616045129506125,0.7616045129506125,BRCA_GSE176078,6000,9,0,0.6547952255229429,0.6547952255229429,0.6516666666666666
