scheme,budget,contrast,delta_mean_n13,ci95_lo_n13,ci95_hi_n13,p_fdr_n13,cohens_dz_n13,n_datasets_n13,n_datasets_favouring_a_n13,delta_mean_n12,ci95_lo_n12,ci95_hi_n12,p_fdr_n12,cohens_dz_n12,n_datasets_n12,n_datasets_favouring_a_n12,delta_shift,sign_flip,sig_change
S3_leave_dataset_out,5,geneformer - harmony,0.005249391620351617,-0.050551758763748775,0.0581253449330938,0.8359786184210526,0.05037134199234389,13,8,0.0033143858659800316,-0.055386682327086635,0.061200661491455144,0.8375459558823529,0.030518187973774466,12,7,-0.0019350057543715857,False,False
S3_leave_dataset_out,5,scgpt - hvg_pca,-0.03903314785687235,-0.08860486904936468,0.006181809482298856,0.7952683971774193,-0.4272966118774123,13,6,-0.04553075003298479,-0.09733273563862922,0.0021681751161703325,0.6512082122093024,-0.49371914348024853,12,5,-0.006497602176112442,False,False
S3_leave_dataset_out,5,scgpt - scvi,-0.04681086460541329,-0.0906515567314754,-0.007558214201977263,0.19775390625,-0.5925463798683176,13,4,-0.05243814151871265,-0.0974169026009318,-0.011857012071249645,0.10076032366071429,-0.6575765780382222,12,3,-0.00562727691329936,False,False
S3_leave_dataset_out,5,scgpt - harmony,0.019095009607753732,-0.04036026900206887,0.074550949453862,0.6471079631024097,0.17278173691418536,13,9,0.014943371539210812,-0.04934708576630881,0.07509275453563699,0.7224042338709677,0.13066311831775398,12,8,-0.0041516380685429205,False,False
S3_leave_dataset_out,10,geneformer - hvg_pca,-0.06404197081396554,-0.10789282808716803,-0.02199744128233529,0.06927849264705882,-0.7788750121152362,13,4,-0.06770708200616284,-0.11411146677877693,-0.023213227660804327,0.08656397405660377,-0.7987769355570532,12,4,-0.0036651111921972984,False,False
S3_leave_dataset_out,10,geneformer - scvi,-0.06932315706610512,-0.10534629992682136,-0.03615726669193583,0.002825055803571429,-1.0516595164370086,13,1,-0.07234521753374996,-0.1098499700749478,-0.037142414375478834,0.005650111607142858,-1.0654381804871131,12,1,-0.0030220604676448465,False,False
S3_leave_dataset_out,10,geneformer - harmony,-0.01656765865338824,-0.05965870672431814,0.026757270505816753,0.6471079631024097,-0.19933010334518061,13,6,-0.018538730576796104,-0.06470035781819533,0.02885793023211423,0.596829044117647,-0.2143338885262801,12,5,-0.0019710719234078654,False,False
S3_leave_dataset_out,10,scgpt - hvg_pca,-0.04463471752821169,-0.09140770846156727,-0.0027037181363961113,0.5811054180194806,-0.5231912171033015,13,6,-0.04997278830605234,-0.09960629857291733,-0.005582161338433039,0.49527554898648646,-0.5756654332008997,12,5,-0.005338070777840653,False,False
S3_leave_dataset_out,10,scgpt - scvi,-0.049915903780351274,-0.08865776959627446,-0.015073285482163053,0.04735331632653061,-0.7178623096870345,13,4,-0.05461092383363945,-0.09457115323733123,-0.01856518370724372,0.03955078125,-0.7752728464291962,12,3,-0.004695020053288174,False,False
S3_leave_dataset_out,10,scgpt - harmony,0.002839594632365601,-0.04975237023434496,0.05237269670316162,0.8716383713942308,0.029147883165708485,13,8,-0.0008044368766856,-0.05702563479790402,0.052084442677698434,0.9697265625,-0.007978741937252743,12,7,-0.0036440315090512008,True,False
S3_leave_dataset_out,25,geneformer - hvg_pca,-0.07625455481757831,-0.11748134203908303,-0.036866748005026366,0.005593039772727272,-0.9857770382298645,13,1,-0.07958791083785009,-0.12355187251713626,-0.03822633446864157,0.011186079545454544,-0.9971762257930216,12,1,-0.00333335602027178,False,False
S3_leave_dataset_out,25,geneformer - scvi,-0.07884525858401516,-0.11641356309170521,-0.04563533861019512,0.002197265625,-1.1612396653460135,13,1,-0.08144400759960428,-0.12133516794798738,-0.046261769903108214,0.00439453125,-1.15954186603244,12,1,-0.0025987490155891246,False,False
S3_leave_dataset_out,25,geneformer - harmony,-0.037387059013719755,-0.07712919213139649,0.0024486758304402547,0.17250397245762714,-0.49241838012017936,13,3,-0.03948314621626327,-0.08185788810936706,0.004233151202337468,0.22181919642857142,-0.5003716060957428,12,3,-0.002096087202543513,False,False
S3_leave_dataset_out,25,scgpt - hvg_pca,-0.051075923867498735,-0.09280159766890787,-0.0133872047545165,0.12906044407894737,-0.6654268274494758,13,5,-0.055721521316741386,-0.10004164687880204,-0.015354271547139598,0.08656397405660377,-0.7122094926590875,12,4,-0.004645597449242651,False,False
