dataset,representation,scheme,budget,macro_f1,macro_f1_resample_sd,n_runs
CHOL_GSE125449_aPD1aPDL1aCTLA4,scvi,S1_within_dataset,50,0.7923509711270623,0.02797392892154212,25
CRC_GSE108989,geneformer,S1_within_dataset,50,0.8090331883954814,0.04366402297934102,25
CRC_GSE108989,harmony,S1_within_dataset,50,0.7479159465702293,0.047869806218099394,25
CRC_GSE108989,hvg_pca,S1_within_dataset,50,0.8350307549009846,0.03759394705412696,25
CRC_GSE108989,scgpt,S1_within_dataset,50,0.7474031997725489,0.046192783924929454,25
CRC_GSE108989,scvi,S1_within_dataset,50,0.8031391445121498,0.037353805253417915,25
CRC_GSE146771_10X,geneformer,S1_within_dataset,50,0.9005723544480355,0.026903814632939484,25
CRC_GSE146771_10X,harmony,S1_within_dataset,50,0.7781724683811881,0.019863292445322325,25
CRC_GSE146771_10X,hvg_pca,S1_within_dataset,50,0.8749735293345309,0.012083632393742525,25
CRC_GSE146771_10X,scgpt,S1_within_dataset,50,0.8832536821921373,0.016858087417600996,25
CRC_GSE146771_10X,scvi,S1_within_dataset,50,0.8636244683700361,0.0169318744795251,25
HNSC_GSE103322,geneformer,S1_within_dataset,50,0.7446981101068297,0.053028544001532577,25
HNSC_GSE103322,harmony,S1_within_dataset,50,0.7364512423767151,0.02871613370204827,25
HNSC_GSE103322,hvg_pca,S1_within_dataset,50,0.8015032403317446,0.026412525637176092,25
HNSC_GSE103322,scgpt,S1_within_dataset,50,0.7436779571384559,0.043196605188012376,25
HNSC_GSE103322,scvi,S1_within_dataset,50,0.7765085310796584,0.025936909364483306,25
LIHC_GSE140228_10X,geneformer,S1_within_dataset,50,0.8177632119912167,0.025723934600067284,25
LIHC_GSE140228_10X,harmony,S1_within_dataset,50,0.7767880285543198,0.01384891052260897,25
LIHC_GSE140228_10X,hvg_pca,S1_within_dataset,50,0.8236641625646612,0.01955529221922846,25
LIHC_GSE140228_10X,scgpt,S1_within_dataset,50,0.7964851141479776,0.027724770112874414,25
LIHC_GSE140228_10X,scvi,S1_within_dataset,50,0.8257372233254933,0.014864314109087451,25
LIHC_GSE98638,geneformer,S1_within_dataset,50,0.7830045825666038,0.03198901717917079,25
LIHC_GSE98638,harmony,S1_within_dataset,50,0.7162459429568797,0.047338269405500386,25
LIHC_GSE98638,hvg_pca,S1_within_dataset,50,0.7874815756454105,0.037155784148474,25
LIHC_GSE98638,scgpt,S1_within_dataset,50,0.7224042159376038,0.04026760185380965,25
LIHC_GSE98638,scvi,S1_within_dataset,50,0.7498162358005784,0.040490812307262564,25
NSCLC_GSE127465,geneformer,S1_within_dataset,50,0.8440595418932378,0.01878377681890452,25
NSCLC_GSE127465,harmony,S1_within_dataset,50,0.7763337701910515,0.013775090137471727,25
NSCLC_GSE127465,hvg_pca,S1_within_dataset,50,0.8365618977864634,0.013774601137191395,25
NSCLC_GSE127465,scgpt,S1_within_dataset,50,0.8380390568271203,0.01603336960618241,25
NSCLC_GSE127465,scvi,S1_within_dataset,50,0.8085807497406374,0.01783581774994534,25
NSCLC_GSE131907,geneformer,S1_within_dataset,50,0.7549979258566357,0.013561453705899083,25
NSCLC_GSE131907,harmony,S1_within_dataset,50,0.6811852728452514,0.00883577159798331,25
NSCLC_GSE131907,hvg_pca,S1_within_dataset,50,0.7323440207204495,0.013707544530623181,25
NSCLC_GSE131907,scgpt,S1_within_dataset,50,0.7444952899686348,0.010903512538864043,25
NSCLC_GSE131907,scvi,S1_within_dataset,50,0.7246982242304347,0.012518489762657466,25
PAAD_GSE111672,geneformer,S1_within_dataset,50,0.7257877652890034,0.05835845470276722,25
PAAD_GSE111672,harmony,S1_within_dataset,50,0.5605061492087807,0.0572881686508504,25
PAAD_GSE111672,hvg_pca,S1_within_dataset,50,0.7046935862971005,0.06151528773981163,25
PAAD_GSE111672,scgpt,S1_within_dataset,50,0.73085689651923,0.05581428824269921,25
PAAD_GSE111672,scvi,S1_within_dataset,50,0.7458298138646784,0.06311240849975114,25
PAAD_GSE154778,geneformer,S1_within_dataset,50,0.6626300366605967,0.03539414382049323,25
PAAD_GSE154778,harmony,S1_within_dataset,50,0.5327740580566982,0.02598546372074208,25
PAAD_GSE154778,hvg_pca,S1_within_dataset,50,0.6633351335847604,0.030070066482110403,25
PAAD_GSE154778,scgpt,S1_within_dataset,50,0.6506681339873837,0.026128581234963567,25
PAAD_GSE154778,scvi,S1_within_dataset,50,0.632096020152448,0.038581580380664775,25
STAD_GSE134520,geneformer,S1_within_dataset,50,0.6894299174791882,0.06436422282292913,25
STAD_GSE134520,harmony,S1_within_dataset,50,0.6284773648464603,0.02086523340543899,25
STAD_GSE134520,hvg_pca,S1_within_dataset,50,0.7294252926669271,0.02486384083794986,25
STAD_GSE134520,scgpt,S1_within_dataset,50,0.7186689285391102,0.042498867417676146,25
STAD_GSE134520,scvi,S1_within_dataset,50,0.7096759560893955,0.02523365209988154,25
BRCA_GSE161529,geneformer,S1_within_dataset,100,0.8120427014050057,0.014531283339706236,25
BRCA_GSE161529,harmony,S1_within_dataset,100,0.6715913668350011,0.009135048532249652,25
BRCA_GSE161529,hvg_pca,S1_within_dataset,100,0.7478321038459795,0.015828678119043583,25
BRCA_GSE161529,scgpt,S1_within_dataset,100,0.7824198515714555,0.014096863208452111,25
BRCA_GSE161529,scvi,S1_within_dataset,100,0.7199325630990443,0.009957643284105634,25
BRCA_GSE176078,geneformer,S1_within_dataset,100,0.7914723588273492,0.013014411579368536,25
BRCA_GSE176078,harmony,S1_within_dataset,100,0.7255950098752766,0.011078750319673994,25
BRCA_GSE176078,hvg_pca,S1_within_dataset,100,0.8046819330201231,0.013476203089840525,25
BRCA_GSE176078,scgpt,S1_within_dataset,100,0.8191163119562447,0.014304548912009949,25
BRCA_GSE176078,scvi,S1_within_dataset,100,0.7891766114157407,0.01472098733786677,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,geneformer,S1_within_dataset,100,0.7747069400110493,0.036367370258437615,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,harmony,S1_within_dataset,100,0.7609796000367993,0.017922047699520542,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,hvg_pca,S1_within_dataset,100,0.8299931216124612,0.025795719582451356,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,scgpt,S1_within_dataset,100,0.8331241969307039,0.03210803250398492,25
CHOL_GSE125449_aPD1aPDL1aCTLA4,scvi,S1_within_dataset,100,0.8054178612190442,0.024950596979386234,25
CRC_GSE108989,geneformer,S1_within_dataset,100,0.8253726115817163,0.035753198245480275,25
CRC_GSE108989,harmony,S1_within_dataset,100,0.7689414938594525,0.02131413680098783,25
CRC_GSE108989,hvg_pca,S1_within_dataset,100,0.8573628439623526,0.022225951552637107,25
CRC_GSE108989,scgpt,S1_within_dataset,100,0.8004714086450706,0.02059501417607431,25
CRC_GSE108989,scvi,S1_within_dataset,100,0.8131179774973202,0.024267021703793676,25
CRC_GSE146771_10X,geneformer,S1_within_dataset,100,0.9197354601726292,0.008939940323359038,25
CRC_GSE146771_10X,harmony,S1_within_dataset,100,0.8027538104876042,0.011730114614118286,25
CRC_GSE146771_10X,hvg_pca,S1_within_dataset,100,0.8862603706093897,0.009604528940837508,25
