representation,scheme,budget,nominal,variant,score,coverage,coverage_gap,mean_set_size,empty_rate,singleton_rate,n_datasets
geneformer,S3_leave_dataset_out,10,0.95,mondrian,aps,0.908845214028534,0.04115478597146596,8.016874790533398,0.0026190615857237688,0.007713089908501509,13
geneformer,S3_leave_dataset_out,10,0.95,mondrian,inverse_softmax,0.8878288530022432,0.062171146997756645,5.420963120388278,1.412944930471335e-06,0.015579147189156095,13
geneformer,S3_leave_dataset_out,100,0.8,marginal,aps,0.8263638724016169,-0.026363872401616913,5.009902429782841,0.09839235910257631,0.1185114269576401,13
geneformer,S3_leave_dataset_out,100,0.8,marginal,inverse_softmax,0.7836833608449465,0.016316639155053513,1.8480408636060126,0.0009738524965825693,0.5543787874899508,13
geneformer,S3_leave_dataset_out,100,0.8,mondrian,aps,0.7877081887775513,0.012291811222448724,6.258154992569546,0.007913702937296038,0.02397549154288808,13
geneformer,S3_leave_dataset_out,100,0.8,mondrian,inverse_softmax,0.7607925121656294,0.039207487834370655,3.8976033608490237,0.0024607917016911994,0.0502157691877072,13
geneformer,S3_leave_dataset_out,100,0.9,marginal,aps,0.9146949490938207,-0.014694949093820615,7.166983867555923,0.04448654536886855,0.05636563719592988,13
geneformer,S3_leave_dataset_out,100,0.9,marginal,inverse_softmax,0.8821221716904895,0.017877828309510513,3.6356975462347116,5.180798078394894e-06,0.26055029710107164,13
geneformer,S3_leave_dataset_out,100,0.9,mondrian,aps,0.8671538222062112,0.03284617779378883,7.24806596904574,0.005085295194317939,0.0148124015511114,13
geneformer,S3_leave_dataset_out,100,0.9,mondrian,inverse_softmax,0.8432774179065642,0.05672258209343585,4.599445504676772,0.00010954909784946076,0.03177029710911641,13
geneformer,S3_leave_dataset_out,100,0.95,marginal,aps,0.9539822896976211,-0.003982289697621152,8.66592704950407,0.02079425174595954,0.02750002575607949,13
geneformer,S3_leave_dataset_out,100,0.95,marginal,inverse_softmax,0.9336365228699054,0.016363477130094596,5.728153607120836,0.0,0.1218060266322854,13
geneformer,S3_leave_dataset_out,100,0.95,mondrian,aps,0.9139872518517465,0.03601274814825353,8.14439717515679,0.003152231916194889,0.009260552904246756,13
geneformer,S3_leave_dataset_out,100,0.95,mondrian,inverse_softmax,0.8982214020488807,0.05177859795111928,5.435747313075425,0.0,0.018191422692991434,13
geneformer,S3_leave_dataset_out,all,0.8,marginal,aps,0.7761414981278176,0.023858501872182438,3.2039857872209843,0.1092323532707385,0.1899843420595239,13
geneformer,S3_leave_dataset_out,all,0.8,marginal,inverse_softmax,0.740032117395714,0.05996788260428602,1.5167414340257304,0.0025384201224544494,0.6212588569010202,13
geneformer,S3_leave_dataset_out,all,0.8,mondrian,aps,0.7421138549585933,0.0578861450414068,5.219954135300889,0.0026982134470466147,0.016854923492045856,13
geneformer,S3_leave_dataset_out,all,0.8,mondrian,inverse_softmax,0.7350391491664581,0.06496085083354189,3.9594134467515314,0.0009351041483447403,0.03814414135026899,13
geneformer,S3_leave_dataset_out,all,0.9,marginal,aps,0.8826833548892593,0.017316645110740728,5.2257470199086065,0.04966492935458578,0.09304434996503962,13
geneformer,S3_leave_dataset_out,all,0.9,marginal,inverse_softmax,0.8410866367388524,0.05891336326114765,2.7028114177345612,0.0,0.29498648586904025,13
geneformer,S3_leave_dataset_out,all,0.9,mondrian,aps,0.8273867717703751,0.07261322822962493,6.1522224765393805,0.0011630929551965494,0.009558380048205346,13
geneformer,S3_leave_dataset_out,all,0.9,mondrian,inverse_softmax,0.8134903388430395,0.08650966115696053,4.565080295093168,8.00438738119312e-05,0.020687546132978015,13
geneformer,S3_leave_dataset_out,all,0.95,marginal,aps,0.9375767277914598,0.012423272208540108,7.534854961053127,0.01924326445260886,0.04566603031093362,13
geneformer,S3_leave_dataset_out,all,0.95,marginal,inverse_softmax,0.8963883555935335,0.05361164440646638,4.583192874451391,0.0,0.1513270316550837,13
geneformer,S3_leave_dataset_out,all,0.95,mondrian,aps,0.8853765317302204,0.0646234682697796,7.0338713750048365,0.0004351153452522953,0.003947024056744005,13
geneformer,S3_leave_dataset_out,all,0.95,mondrian,inverse_softmax,0.8663399373094898,0.08366006269051025,5.1387422602757855,0.0,0.010284176687928616,13
harmony,S1_within_dataset,10,0.8,marginal,aps,0.7968360296911414,0.0031639703088586902,3.3119825053275602,0.03769342300213803,0.05248951709288878,13
harmony,S1_within_dataset,10,0.8,marginal,inverse_softmax,0.7893092829717635,0.010690717028236542,2.3178588821698436,0.0014725330630322273,0.24229280145976573,13
harmony,S1_within_dataset,10,0.8,mondrian,aps,0.7994278526486489,0.0005721473513511302,3.2614659219836577,0.032521870823188324,0.09435521193770448,13
harmony,S1_within_dataset,10,0.8,mondrian,inverse_softmax,0.7966320082969701,0.003367991703029999,2.08114508267266,0.008268340033793158,0.2701777988519111,13
harmony,S1_within_dataset,10,0.9,marginal,aps,0.8979804479354468,0.002019552064553126,5.663747358613477,0.010851813906590572,0.009831985706192157,13
harmony,S1_within_dataset,10,0.9,marginal,inverse_softmax,0.8957191665668511,0.004280833433148958,4.646133883850329,0.0,0.056480272111613626,13
harmony,S1_within_dataset,10,0.9,mondrian,aps,0.8977851301508696,0.0022148698491304694,5.03724167246039,0.00740048514239531,0.015421355905651638,13
harmony,S1_within_dataset,10,0.9,mondrian,inverse_softmax,0.8976908921075657,0.002309107892434271,3.7481182073683956,6.16105406080044e-06,0.056142032692931707,13
harmony,S1_within_dataset,10,0.95,marginal,aps,0.9489160128945598,0.0010839871054400857,8.331663599632499,0.00273434926665656,0.0026679618392697136,13
harmony,S1_within_dataset,10,0.95,marginal,inverse_softmax,0.9483711486739854,0.001628851326014608,7.674036291569927,0.0,0.016275658824004655,13
harmony,S1_within_dataset,10,0.95,mondrian,aps,0.9490323100991481,0.000967689900851848,7.185897884321174,0.0014056907984714637,0.0032649096645798637,13
harmony,S1_within_dataset,10,0.95,mondrian,inverse_softmax,0.9487905424357511,0.0012094575642488615,6.0981955277780315,0.0,0.015456242786199243,13
harmony,S1_within_dataset,100,0.8,marginal,aps,0.8112771884875366,-0.011277188487536572,3.4336344208005722,0.1282566821625293,0.09182194980866126,13
harmony,S1_within_dataset,100,0.8,marginal,inverse_softmax,0.7818675450972598,0.01813245490274036,1.2858517625349823,0.03346410818434432,0.6509006757935847,13
harmony,S1_within_dataset,100,0.8,mondrian,aps,0.8033021115106836,-0.003302111510683532,3.554846433108683,0.061702837698935205,0.14867108296913323,13
harmony,S1_within_dataset,100,0.8,mondrian,inverse_softmax,0.793601407115779,0.006398592884221021,1.321248244134954,0.05205803302502561,0.5855595199121011,13
harmony,S1_within_dataset,100,0.9,marginal,aps,0.9050490716349642,-0.005049071634964267,5.172645600022206,0.06370128300244192,0.04147051675622808,13
harmony,S1_within_dataset,100,0.9,marginal,inverse_softmax,0.8936930210011125,0.006306978998887588,1.7791037815801334,0.000277542922538244,0.36753035028986025,13
harmony,S1_within_dataset,100,0.9,mondrian,aps,0.9032061769393103,-0.0032061769393102357,4.8181299840892375,0.026100655848975488,0.08695751407551905,13
harmony,S1_within_dataset,100,0.9,mondrian,inverse_softmax,0.8990101472420158,0.0009898527579842902,1.9516068463348324,0.0008481249383526418,0.32043886241580555,13
harmony,S1_within_dataset,100,0.95,marginal,aps,0.9516772143613109,-0.0016772143613108708,6.7454601673892824,0.028927234852846113,0.018636657033497796,13
harmony,S1_within_dataset,100,0.95,marginal,inverse_softmax,0.9484637499496719,0.0015362500503280736,2.877067545815507,0.0,0.20157961465412808,13
harmony,S1_within_dataset,100,0.95,mondrian,aps,0.951833736986482,-0.0018337369864819947,6.161885074886561,0.010484851914420208,0.04757560457363011,13
harmony,S1_within_dataset,100,0.95,mondrian,inverse_softmax,0.9496759650389494,0.00032403496105065226,3.215050214460445,0.0,0.15677190882840583,13
harmony,S1_within_dataset,all,0.8,marginal,aps,0.8150503125297768,-0.015050312529776686,2.6616947230396546,0.13665121467762004,0.17987164772990935,13
harmony,S1_within_dataset,all,0.8,marginal,inverse_softmax,0.8096882430204441,-0.00968824302044402,1.0454925861294104,0.016261942274517292,0.921983529321555,13
harmony,S1_within_dataset,all,0.8,mondrian,aps,0.8104519492598132,-0.010451949259813133,3.1495258732573257,0.06756843387159048,0.18860634872862503,13
harmony,S1_within_dataset,all,0.8,mondrian,inverse_softmax,0.7922937684243855,0.0077062315756146185,1.1992399429008196,0.05252641770289946,0.6975795753361509,13
harmony,S1_within_dataset,all,0.9,marginal,aps,0.9037639231325557,-0.00376392313255577,4.469587664430864,0.07586686350719257,0.1008818194939771,13
